Date,Close,Open,High,Low,Vol.,Change %
11/09/23,105.49,106.62,106.65,105.48,45.97K,-0.85%
11/08/23,106.39,106.58,106.62,105.94,18.83K,0.03%
11/07/23,106.36,106.0,106.53,105.88,11.75K,0.35%
11/06/23,105.99,106.17,106.21,105.52,58.55K,0.12%
11/03/23,105.86,105.19,106.31,105.19,852.01K,0.98%
11/02/23,104.83,103.73,104.85,103.73,35.61K,1.99%
11/01/23,102.78,101.9,102.96,101.9,22.52K,0.95%
10/31/2023,101.81,101.24,101.81,101.11,11.15K,0.73%
10/30/2023,101.07,100.57,101.35,100.34,31.44K,1.12%
10/27/2023,99.95,100.81,100.86,99.61,30.84K,-0.49%
10/26/2023,100.44,101.38,101.57,100.2,34.65K,-1.12%
10/25/2023,101.58,102.63,102.63,101.49,31.86K,-1.54%
10/24/2023,103.17,102.93,103.31,102.52,33.96K,0.74%
10/23/2023,102.41,102.1,103.31,101.74,36.77K,-0.19%
10/20/2023,102.61,103.72,103.8,102.59,35.26K,-1.31%
10/19/2023,103.97,105.06,105.4,103.74,37.64K,-0.82%
10/18/2023,104.83,105.87,106.05,104.63,80.40K,-1.42%
10/17/2023,106.34,105.45,106.85,105.45,18.66K,0.06%
10/16/2023,106.27,105.59,106.51,105.59,29.58K,1.09%
10/13/2023,105.12,106.08,106.1,104.85,16.26K,-0.59%
10/12/23,105.74,106.61,106.61,105.28,19.50K,-0.76%
10/11/23,106.55,106.42,106.55,105.81,29.58K,0.43%
10/10/23,106.09,105.63,106.71,105.63,18.90K,0.62%
10/09/23,105.44,104.47,105.58,104.26,24.63K,0.61%
10/06/23,104.8,102.84,105.15,102.75,18.83K,1.23%
10/05/23,103.53,103.49,103.75,102.79,68.36K,-0.14%
10/04/23,103.67,102.92,103.73,102.61,28.11K,0.85%
10/03/23,102.8,103.7,103.88,102.53,29.30K,-1.45%
10/02/23,104.31,104.39,104.62,103.71,30.16K,-0.16%
09/29/2023,104.48,105.54,105.54,104.16,79.57K,-0.17%
09/28/2023,104.66,103.82,105.02,103.8,26.84K,0.65%
09/27/2023,103.98,104.24,104.26,103.13,33.65K,0.06%
09/26/2023,103.92,104.76,104.85,103.74,27.99K,-1.78%
09/25/2023,105.8,105.09,105.83,105.09,29.25K,0.34%
09/22/2023,105.44,105.89,106.29,105.34,40.06K,-0.20%
09/21/2023,105.65,106.71,106.9,105.63,26.01K,-1.69%
09/20/2023,107.47,108.8,108.82,107.47,31.24K,-0.89%
09/19/2023,108.44,108.66,108.66,107.85,29.69K,-0.25%
09/18/2023,108.71,108.5,109.01,108.45,22.30K,0.04%
09/15/2023,108.67,109.65,109.65,108.56,17.44K,-1.16%
09/14/2023,109.95,109.71,110.04,109.37,20.04K,0.86%
09/13/2023,109.01,109.01,109.31,108.77,18.85K,0.06%
09/12/23,108.95,109.16,109.6,108.89,27.49K,-0.54%
09/11/23,109.54,109.47,109.66,109.14,30.71K,0.60%
09/08/23,108.89,108.8,109.19,108.68,16.00K,0.15%
09/07/23,108.73,108.21,108.81,108.21,128.70K,-0.29%
09/06/23,109.05,109.61,109.66,108.55,20.62K,-0.68%
09/05/23,109.8,110.21,110.22,109.8,30.07K,-0.48%
09/01/23,110.33,110.79,110.85,110.05,26.05K,0.20%
08/31/2023,110.11,110.37,110.61,110.07,46.22K,-0.02%
08/30/2023,110.13,109.71,110.25,109.71,22.06K,0.45%
08/29/2023,109.64,108.06,109.72,108.0,31.70K,1.45%
08/28/2023,108.07,107.9,108.18,107.65,54.36K,0.66%
08/25/2023,107.36,107.01,107.59,106.18,40.35K,0.65%
08/24/2023,106.67,108.49,108.49,106.67,59.94K,-1.30%
08/23/2023,108.07,107.08,108.24,107.08,22.78K,1.09%
08/22/2023,106.9,107.66,107.66,106.81,34.39K,-0.29%
08/21/2023,107.21,106.77,107.37,106.35,58.35K,0.66%
08/18/2023,106.51,105.72,106.78,105.64,50.46K,-0.03%
08/17/2023,106.54,107.71,107.71,106.44,22.34K,-0.75%
08/16/2023,107.34,108.01,108.42,107.34,80.18K,-0.79%
08/15/2023,108.19,108.92,109.06,108.02,114.80K,-1.13%
08/14/2023,109.43,108.67,109.44,108.61,26.53K,0.55%
08/11/23,108.83,108.65,109.15,108.4,28.54K,-0.16%
08/10/23,109.0,109.61,110.29,108.86,22.77K,0.10%
08/09/23,108.89,109.89,109.89,108.89,19.63K,-0.77%
08/08/23,109.73,109.49,109.81,108.86,39.95K,-0.45%
08/07/23,110.23,109.74,110.25,109.59,33.29K,0.84%
08/04/23,109.31,110.52,110.77,109.23,51.24K,-0.62%
08/03/23,109.99,109.6,110.3,109.48,24.91K,-0.17%
08/02/23,110.18,110.85,110.91,109.98,29.79K,-1.41%
08/01/23,111.76,111.78,111.89,111.54,18.50K,-0.29%
07/31/2023,112.08,112.02,112.16,111.72,18.01K,0.25%
07/28/2023,111.81,111.45,111.95,111.39,34.00K,1.00%
07/27/2023,110.7,112.27,112.49,110.47,30.04K,-0.56%
07/26/2023,111.33,111.2,111.68,111.1,14.68K,-0.10%
07/25/2023,111.44,111.08,111.75,111.07,46.34K,0.28%
07/24/2023,111.13,110.88,111.3,110.88,25.05K,0.35%
07/21/2023,110.74,111.27,111.27,110.71,41.71K,-0.01%
07/20/2023,110.75,111.16,111.44,110.52,19.45K,-0.73%
07/19/2023,111.56,111.54,111.79,111.34,27.76K,0.31%
07/18/2023,111.22,110.39,111.37,110.27,20.88K,0.79%
07/17/2023,110.35,109.95,110.61,109.91,27.22K,0.49%
07/14/2023,109.82,110.28,110.47,109.76,41.38K,-0.25%
07/13/2023,110.09,109.68,110.27,109.68,24.00K,0.88%
07/12/23,109.13,109.15,109.51,108.94,63.53K,0.71%
07/11/23,108.36,107.71,108.44,107.59,27.01K,0.82%
07/10/23,107.48,107.1,107.55,107.1,19.35K,0.31%
07/07/23,107.15,107.14,108.08,107.09,27.46K,-0.17%
07/06/23,107.33,107.27,107.4,106.68,39.56K,-0.88%
07/05/23,108.28,107.97,108.4,107.86,29.54K,-0.18%
07/03/23,108.47,108.31,108.49,108.26,20.38K,0.13%
06/30/2023,108.33,107.84,108.5,107.84,31.69K,1.22%
06/29/2023,107.02,106.54,107.11,106.54,20.24K,0.40%
06/28/2023,106.59,106.28,106.8,106.15,32.58K,0.05%
06/27/2023,106.54,105.59,106.66,105.52,15.01K,1.20%
06/26/2023,105.28,105.51,106.08,105.28,35.49K,-0.34%
06/23/2023,105.64,105.71,106.09,105.6,12.28K,-0.81%
06/22/2023,106.5,105.82,106.51,105.81,20.76K,0.28%
06/21/2023,106.2,106.51,106.59,106.06,13.76K,-0.50%
06/20/2023,106.73,106.83,106.98,106.24,27.38K,-0.58%
06/16/2023,107.35,108.28,108.28,107.25,14.05K,-0.32%
06/15/2023,107.69,106.13,108.0,106.13,35.97K,1.24%
06/14/2023,106.37,106.38,106.89,105.56,76.24K,0.05%
06/13/2023,106.32,106.01,106.49,105.89,148.09K,0.71%
06/12/23,105.57,104.84,105.57,104.71,37.75K,0.93%
06/09/23,104.6,104.71,105.13,104.38,24.79K,0.09%
06/08/23,104.51,103.81,104.59,103.81,107.93K,0.57%
06/07/23,103.92,104.41,104.61,103.79,26.02K,-0.56%
06/06/23,104.51,103.95,104.61,103.9,76.49K,0.36%
06/05/23,104.14,104.44,104.7,103.97,39.95K,-0.16%
06/02/23,104.31,103.52,104.54,103.43,51.04K,1.57%
06/01/23,102.7,101.88,103.01,101.58,30.07K,0.96%
05/31/2023,101.72,101.96,102.11,101.39,88.18K,-0.63%
05/30/2023,102.37,102.9,102.9,101.98,51.53K,0.12%
05/26/2023,102.25,101.19,102.44,101.19,49.71K,1.32%
05/25/2023,100.92,101.01,101.18,100.44,61.63K,0.78%
05/24/2023,100.14,100.49,100.55,99.94,76.94K,-0.78%
05/23/2023,100.93,101.62,101.93,100.85,42.96K,-1.07%
05/22/2023,102.02,101.89,102.31,101.74,178.62K,0.10%
05/19/2023,101.92,102.32,102.45,101.66,33.83K,-0.23%
05/18/2023,102.15,101.01,102.21,101.01,28.36K,1.04%
05/17/2023,101.1,100.39,101.28,100.0,33.11K,1.21%
05/16/2023,99.89,100.27,100.41,99.89,21.93K,-0.69%
05/15/2023,100.58,100.33,100.64,99.99,26.35K,0.36%
05/12/23,100.22,100.67,100.67,99.63,78.02K,-0.15%
05/11/23,100.37,100.31,100.42,99.89,11.21K,-0.19%
05/10/23,100.56,100.83,100.84,99.65,31.88K,0.42%
05/09/23,100.14,100.06,100.4,100.06,23.38K,-0.41%
05/08/23,100.55,100.64,100.64,100.23,81.63K,0.15%
05/05/23,100.39,99.49,100.71,99.49,47.34K,1.82%
05/04/23,98.6,99.07,99.07,98.4,151.10K,-0.74%
05/03/23,99.34,100.08,100.57,99.33,9.71K,-0.64%
05/02/23,99.98,100.95,100.95,99.26,21.57K,-1.20%
05/01/23,101.19,101.08,101.6,101.08,20.48K,0.00%
04/28/2023,101.19,100.15,101.21,100.15,25.78K,0.79%
04/27/2023,100.4,99.07,100.44,99.07,39.80K,1.88%
04/26/2023,98.55,99.2,99.35,98.37,21.70K,-0.36%
04/25/2023,98.91,100.09,100.14,98.91,24.42K,-1.65%
04/24/2023,100.57,100.51,100.74,100.15,147.84K,0.01%
04/21/2023,100.56,100.55,100.65,100.03,38.08K,0.14%
04/20/2023,100.42,100.24,100.88,100.07,28.39K,-0.67%
04/19/2023,101.1,100.58,101.24,100.58,26.19K,0.01%
04/18/2023,101.09,101.37,101.37,100.77,17.31K,0.13%
04/17/2023,100.96,100.6,100.96,100.3,16.26K,0.40%
04/14/2023,100.56,100.59,101.26,100.03,34.19K,-0.24%
04/13/2023,100.8,99.95,100.9,99.77,27.02K,1.30%
04/12/23,99.51,100.5,100.55,99.43,36.99K,-0.43%
04/11/23,99.94,99.72,100.31,99.72,30.55K,0.09%
04/10/23,99.85,99.03,99.85,99.03,14.36K,0.17%
04/06/23,99.68,99.21,99.72,98.92,33.57K,0.33%
04/05/23,99.35,99.52,99.58,98.94,22.47K,-0.33%
04/04/23,99.68,100.47,100.52,99.4,110.15K,-0.68%
04/03/23,100.36,100.02,100.42,99.74,66.69K,0.29%
03/31/2023,100.07,98.76,100.11,98.76,31.21K,1.54%
03/30/2023,98.55,98.67,98.74,98.22,33.99K,0.56%
03/29/2023,98.0,97.57,98.06,97.41,38.09K,1.45%
03/28/2023,96.6,96.62,96.77,96.17,18.23K,-0.21%
03/27/2023,96.8,97.12,97.36,96.61,32.56K,0.30%
03/24/2023,96.51,95.54,96.51,95.16,32.45K,0.48%
03/23/2023,96.05,96.52,97.4,95.34,35.17K,-0.09%
03/22/2023,96.14,98.05,98.52,96.14,48.37K,-1.69%
03/21/2023,97.79,97.35,97.96,97.13,27.83K,1.39%
03/20/2023,96.45,95.84,96.58,95.7,28.33K,0.90%
03/17/2023,95.59,96.51,96.52,95.32,19.37K,-1.20%
03/16/2023,96.75,94.62,96.84,94.46,110.76K,1.78%
03/15/2023,95.06,94.55,95.14,93.8,94.11K,-0.81%
03/14/2023,95.84,95.57,96.25,94.68,38.60K,1.70%
03/13/2023,94.24,93.33,95.28,92.99,67.77K,-0.18%
03/10/23,94.41,95.77,96.14,94.07,39.08K,-1.69%
03/09/23,96.03,97.99,98.42,95.8,32.70K,-1.91%
03/08/23,97.9,97.8,98.13,97.37,54.61K,0.11%
03/07/23,97.79,99.21,99.21,97.65,39.69K,-1.52%
03/06/23,99.3,99.52,100.05,99.18,26.14K,-0.01%
03/03/23,99.31,98.14,99.39,98.14,11.77K,1.64%
03/02/23,97.71,96.55,97.93,96.42,33.43K,0.72%
03/01/23,97.01,97.29,97.5,96.73,25.67K,-0.58%
02/28/2023,97.58,97.64,98.04,97.46,28.52K,-0.10%
02/27/2023,97.68,97.9,98.51,97.49,39.32K,0.26%
02/24/2023,97.42,97.15,97.57,96.74,24.10K,-1.03%
02/23/2023,98.43,98.68,98.74,97.35,22.70K,0.55%
02/22/2023,97.89,98.01,98.49,97.66,23.68K,-0.12%
02/21/2023,98.01,99.11,99.23,98.0,28.00K,-2.01%
02/17/2023,100.02,99.88,100.1,99.34,16.77K,-0.40%
02/16/2023,100.42,100.71,101.5,100.38,45.60K,-1.28%
02/15/2023,101.72,100.83,101.72,100.73,41.88K,0.42%
02/14/2023,101.29,100.83,101.8,100.44,29.28K,0.10%
02/13/2023,101.19,100.3,101.22,100.15,34.18K,1.14%
02/10/23,100.05,99.61,100.15,99.33,18.18K,0.14%
02/09/23,99.91,101.82,101.82,99.66,30.28K,-0.95%
02/08/23,100.87,101.62,101.65,100.73,83.48K,-1.07%
02/07/23,101.96,100.46,102.26,100.09,27.28K,1.28%
02/06/23,100.67,100.64,100.91,100.26,20.52K,-0.68%
02/03/23,101.36,101.09,102.47,101.07,25.84K,-1.07%
02/02/23,102.46,101.98,102.85,101.62,32.58K,1.51%
02/01/23,100.94,99.44,101.6,98.9,73.77K,1.19%
01/31/2023,99.75,98.43,99.75,98.37,26.52K,1.50%
01/30/2023,98.28,98.89,99.36,98.24,37.47K,-1.28%
01/27/2023,99.55,98.95,100.04,98.95,33.47K,0.32%
01/26/2023,99.23,98.8,99.23,98.16,31.45K,1.16%
01/25/2023,98.09,97.11,98.17,96.46,76.99K,-0.02%
01/24/2023,98.11,97.8,98.29,97.21,17.92K,-0.13%
01/23/2023,98.24,97.19,98.62,97.19,115.15K,1.26%
01/20/2023,97.02,95.6,97.02,95.18,56.73K,1.92%
01/19/2023,95.19,95.39,95.68,94.88,25.88K,-0.80%
01/18/2023,95.96,97.83,98.04,95.96,55.76K,-1.55%
01/17/2023,97.47,97.5,98.01,97.34,140.12K,-0.16%
