security,correlation,beta,r2,benchmark
USB,0.55955,0.99345,0.3131,SPX
NFLX,0.50567,1.29233,0.2557,SPX
MARA,0.46518,3.15345,0.21639,SPX
GAP,0.46348,1.51836,0.21481,SPX
CEMEXCPO,0.43151,0.91994,0.1862,SPX
MXX,0.43064,0.3862,0.18545,SPX
BBVA,0.28254,0.52057,0.07983,SPX
GFNORTEO,0.26804,0.51025,0.07184,SPX
GFINBURO,0.25592,0.46311,0.0655,SPX
ASURB,0.25403,0.44673,0.06453,SPX
GMEXICOB,0.25271,0.55063,0.06386,SPX
OMAB,0.24764,0.47967,0.06133,SPX
BBAJIOO,0.2417,0.44853,0.05842,SPX
GCARSOA1,0.24048,0.4962,0.05783,SPX
MSCI_EM,0.23933,0.22208,0.05728,SPX
NEMAKA,0.21768,0.47473,0.04739,SPX
TerraClassicUSD,0.20506,1.35482,0.04205,SPX
PINFRA,0.20204,0.30756,0.04082,SPX
inflationmex,0.18816,0.0684,0.03541,SPX
BIMBOA,0.1771,0.32094,0.03136,SPX
CHDRAUIB,0.16579,0.24562,0.02749,SPX
LIVEPOLC1,0.16199,0.21954,0.02624,SPX
PEOLES,0.15986,0.4325,0.02555,SPX
KOFUBL,0.15869,0.20965,0.02518,SPX
IYY,0.15664,0.63603,0.02454,SPX
KIMBERA,0.15391,0.23124,0.02369,SPX
URTH,0.15193,0.5746,0.02308,SPX
BRENT,0.14607,0.29045,0.02134,SPX
ALPEKA,0.14202,0.29671,0.02017,SPX
IAU,0.12475,0.11347,0.01556,SPX
BACHOCOB,0.10555,0.17162,0.01114,SPX
AUTLANB,0.08973,0.14761,0.00805,SPX
MU,0.03773,0.47336,0.00142,SPX
USD_XAU,0.03617,826.7994,0.00131,SPX
XAU_USD,0.02919,0.12665,0.00085,SPX
GPAGF,0.00857,0.05188,7e-05,SPX
inflationusa,-0.01215,-0.00618,0.00015,SPX
USDMXNm,-0.16424,-0.46161,0.02698,SPX
USDEUR,-0.23553,-0.10544,0.05547,SPX
DXY,-0.24146,-0.10035,0.0583,SPX
USDMXN,-0.40726,-0.26807,0.16586,SPX
UVIX,-0.74292,-5.8189,0.55193,SPX
VIX,-0.74692,-5.68651,0.55789,SPX
SOX,1.0,1.0,1.0,SOX
SOXL,0.99764,2.92554,0.99528,SOX
NASDAQ,0.89026,0.56424,0.79257,SOX
IVW,0.85979,0.50406,0.73924,SOX
SPX,0.82911,0.38903,0.68742,SOX
NVDA,0.8236,1.18965,0.67832,SOX
QUAL,0.82287,0.39641,0.67712,SOX
QCOM,0.81766,0.86374,0.66856,SOX
MSCI_W,0.79958,0.32118,0.63933,SOX
DJI,0.65674,0.26743,0.43131,SOX
IWD,0.64543,0.26848,0.41658,SOX
MARA,0.44418,1.41287,0.1973,SOX
NFLX,0.43916,0.52663,0.19287,SOX
BAC,0.4124,0.30902,0.17008,SOX
XLV,0.41011,0.16438,0.16819,SOX
GAP,0.39043,0.60016,0.15244,SOX
CEMEXCPO,0.38657,0.38725,0.14944,SOX
USB,0.37132,0.30933,0.13788,SOX
BRKb,0.36593,0.17465,0.1339,SOX
MXX,0.36135,0.15229,0.13057,SOX
MSCI_EM,0.25085,0.10922,0.06292,SOX
GMEXICOB,0.2432,0.249,0.05915,SOX
ASURB,0.22459,0.18558,0.05044,SOX
GFINBURO,0.21881,0.18605,0.04788,SOX
GCARSOA1,0.2119,0.20548,0.0449,SOX
OMAB,0.21052,0.1916,0.04432,SOX
GFNORTEO,0.2045,0.18295,0.04182,SOX
NEMAKA,0.20175,0.20674,0.0407,SOX
BBVA,0.19089,0.16494,0.03644,SOX
BBAJIOO,0.18697,0.16303,0.03496,SOX
PINFRA,0.18013,0.12885,0.03245,SOX
TerraClassicUSD,0.17518,0.56207,0.03069,SOX
PEOLES,0.16391,0.20838,0.02687,SOX
BIMBOA,0.16133,0.13737,0.02603,SOX
CHDRAUIB,0.14313,0.09964,0.02049,SOX
IAU,0.1317,0.05621,0.01735,SOX
KIMBERA,0.12786,0.09026,0.01635,SOX
IYY,0.12204,0.23305,0.01489,SOX
ALPEKA,0.1205,0.11829,0.01452,SOX
URTH,0.11642,0.20711,0.01355,SOX
LIVEPOLC1,0.11436,0.07282,0.01308,SOX
BRENT,0.10989,0.10253,0.01208,SOX
inflationmex,0.10656,0.01395,0.01136,SOX
KOFUBL,0.10472,0.06501,0.01097,SOX
AUTLANB,0.08671,0.0674,0.00752,SOX
BACHOCOB,0.06682,0.05484,0.00446,SOX
MU,0.05815,0.34347,0.00338,SOX
USD_XAU,0.05273,526.592,0.00278,SOX
XAU_USD,0.03677,0.075,0.00135,SOX
GPAGF,-0.0401,-0.11495,0.00161,SOX
DXY,-0.18955,-0.03696,0.03593,SOX
USDEUR,-0.19523,-0.04108,0.03812,SOX
inflationusa,-0.29076,-0.05024,0.08454,SOX
USDMXN,-0.34762,-0.1076,0.12084,SOX
USDMXNm,-0.36305,-0.37066,0.13181,SOX
VIX,-0.619,-2.21125,0.38316,SOX
UVIX,-0.62753,-2.33647,0.39379,SOX
NASDAQ,1.0,1.0,1.0,NASDAQ
IVW,0.9819,0.90826,0.96413,NASDAQ
SPX,0.94819,0.70198,0.89907,NASDAQ
QUAL,0.93349,0.70954,0.87141,NASDAQ
MSCI_W,0.90474,0.5734,0.81855,NASDAQ
SOX,0.89026,1.40466,0.79257,NASDAQ
SOXL,0.88723,4.10516,0.78718,NASDAQ
NVDA,0.79419,1.81017,0.63074,NASDAQ
DJI,0.77927,0.50067,0.60726,NASDAQ
QCOM,0.73827,1.2305,0.54504,NASDAQ
IWD,0.73359,0.48147,0.53816,NASDAQ
NFLX,0.57102,1.08041,0.32607,NASDAQ
XLV,0.537,0.33908,0.28837,NASDAQ
MARA,0.48207,2.41939,0.23239,NASDAQ
BRKb,0.47722,0.35898,0.22774,NASDAQ
BAC,0.45333,0.53595,0.20551,NASDAQ
USB,0.39828,0.5235,0.15862,NASDAQ
GAP,0.39589,0.96016,0.15673,NASDAQ
CEMEXCPO,0.38995,0.61571,0.15206,NASDAQ
MXX,0.37649,0.25004,0.14174,NASDAQ
MSCI_EM,0.24193,0.1662,0.05853,NASDAQ
GFNORTEO,0.22927,0.32321,0.05257,NASDAQ
GFINBURO,0.22856,0.30632,0.05224,NASDAQ
ASURB,0.22679,0.29538,0.05143,NASDAQ
GCARSOA1,0.22592,0.34521,0.05104,NASDAQ
GMEXICOB,0.22145,0.35737,0.04904,NASDAQ
OMAB,0.21789,0.31258,0.04748,NASDAQ
BBAJIOO,0.21397,0.29408,0.04578,NASDAQ
BBVA,0.20984,0.28607,0.04403,NASDAQ
inflationmex,0.20004,0.0525,0.04002,NASDAQ
NEMAKA,0.19924,0.32181,0.0397,NASDAQ
TerraClassicUSD,0.18031,0.90082,0.03251,NASDAQ
BIMBOA,0.17362,0.23303,0.03014,NASDAQ
PINFRA,0.17299,0.19504,0.02993,NASDAQ
CHDRAUIB,0.15515,0.17024,0.02407,NASDAQ
PEOLES,0.14753,0.29562,0.02177,NASDAQ
IYY,0.147,0.44175,0.02161,NASDAQ
URTH,0.14049,0.39327,0.01974,NASDAQ
LIVEPOLC1,0.13898,0.13949,0.01931,NASDAQ
KIMBERA,0.13307,0.14807,0.01771,NASDAQ
KOFUBL,0.12737,0.12463,0.01622,NASDAQ
ALPEKA,0.12166,0.18825,0.0148,NASDAQ
IAU,0.11178,0.07527,0.01249,NASDAQ
BACHOCOB,0.09731,0.11557,0.00947,NASDAQ
AUTLANB,0.08797,0.10731,0.00774,NASDAQ
BRENT,0.08432,0.12412,0.00711,NASDAQ
MU,0.04262,0.39568,0.00182,NASDAQ
USD_XAU,0.03899,664.95808,0.00152,NASDAQ
XAU_USD,0.02921,0.09379,0.00085,NASDAQ
GPAGF,0.00786,0.03579,6e-05,NASDAQ
inflationusa,-0.02596,-0.00963,0.00067,NASDAQ
USDEUR,-0.21042,-0.06976,0.04428,NASDAQ
DXY,-0.21163,-0.06512,0.04479,NASDAQ
USDMXNm,-0.21288,-0.43454,0.04532,NASDAQ
USDMXN,-0.36685,-0.17881,0.13458,NASDAQ
VIX,-0.68905,-3.88375,0.47479,NASDAQ
UVIX,-0.69501,-4.10267,0.48304,NASDAQ
MXX,1.0,1.0,1.0,MXX
GFNORTEO,0.63858,1.35479,0.40779,MXX
GFINBURO,0.59803,1.21501,0.35765,MXX
GMEXICOB,0.58968,1.44393,0.34772,MXX
CEMEXCPO,0.58081,1.37731,0.33734,MXX
ASURB,0.51395,1.01277,0.26414,MXX
GCARSOA1,0.51202,1.1847,0.26216,MXX
OMAB,0.48365,1.04893,0.23392,MXX
