Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
28.09.2023,"96,040","96,035","96,040","96,035","20,06K","0,00%"
27.09.2023,"96,040","96,035","96,040","96,030","52,43K","0,01%"
26.09.2023,"96,030","96,025","96,035","96,020","39,80K","0,00%"
25.09.2023,"96,030","96,025","96,035","96,025","28,39K","0,00%"
22.09.2023,"96,030","96,025","96,035","96,020","12,09K","0,01%"
21.09.2023,"96,025","96,020","96,030","96,015","17,39K","0,00%"
20.09.2023,"96,025","96,020","96,025","96,015","22,40K","0,01%"
19.09.2023,"96,020","96,020","96,030","96,015","23,01K","-0,08%"
18.09.2023,"96,097","96,070","96,090","96,065","55,02K","0,03%"
15.09.2023,"96,065","96,045","96,075","96,040","317,40K","0,02%"
14.09.2023,"96,045","96,090","96,105","96,035","411,07K","-0,05%"
13.09.2023,"96,095","96,070","96,105","96,055","389,14K","-0,04%"
12.09.2023,"96,130","96,145","96,155","96,090","299,51K","-0,02%"
11.09.2023,"96,150","96,150","96,160","96,145","109,71K","-0,01%"
08.09.2023,"96,160","96,165","96,175","96,145","157,30K","-0,01%"
07.09.2023,"96,165","96,165","96,170","96,155","148,82K","0,00%"
06.09.2023,"96,165","96,185","96,195","96,135","309,76K","-0,02%"
05.09.2023,"96,185","96,180","96,195","96,175","171,52K","0,00%"
04.09.2023,"96,185","96,205","96,205","96,175","110,23K","-0,01%"
01.09.2023,"96,195","96,185","96,210","96,175","315,23K","0,01%"
31.08.2023,"96,190","96,120","96,205","96,100","521,64K","0,06%"
30.08.2023,"96,135","96,145","96,155","96,095","309,57K","-0,02%"
29.08.2023,"96,150","96,145","96,155","96,135","161,08K","0,01%"
28.08.2023,"96,140","96,155","96,155","96,135","66,90K","-0,03%"
25.08.2023,"96,165","96,165","96,175","96,150","141,54K","-0,01%"
24.08.2023,"96,170","96,165","96,180","96,160","133,91K","0,01%"
23.08.2023,"96,165","96,105","96,175","96,105","245,63K","0,06%"
22.08.2023,"96,110","96,095","96,110","96,095","47,17K","0,02%"
21.08.2023,"96,095","96,115","96,115","96,095","59,14K","-0,02%"
18.08.2023,"96,115","96,105","96,135","96,105","98,39K","0,01%"
17.08.2023,"96,110","96,110","96,110","96,095","70,92K","-0,01%"
16.08.2023,"96,115","96,120","96,125","96,105","75,04K","-0,01%"
15.08.2023,"96,120","96,130","96,135","96,085","187,36K","-0,08%"
14.08.2023,"96,201","96,220","96,220","96,215","3,91K","-0,02%"
11.08.2023,"96,220","96,220","96,225","96,215","19,92K","-0,01%"
10.08.2023,"96,225","96,230","96,235","96,215","18,62K","-0,01%"
09.08.2023,"96,230","96,235","96,240","96,230","9,75K","-0,01%"
08.08.2023,"96,235","96,245","96,255","96,235","21,41K","-0,01%"
07.08.2023,"96,245","96,250","96,255","96,240","14,03K","-0,01%"
04.08.2023,"96,255","96,260","96,260","96,245","15,32K","-0,01%"
03.08.2023,"96,260","96,260","96,265","96,255","10,32K","-0,01%"
02.08.2023,"96,265","96,255","96,265","96,255","17,73K","0,01%"
01.08.2023,"96,255","96,255","96,260","96,255","7,33K","-0,01%"
31.07.2023,"96,260","96,260","96,265","96,255","11,26K","-0,01%"
28.07.2023,"96,270","96,255","96,300","96,250","22,71K","0,03%"
27.07.2023,"96,245","96,230","96,265","96,225","21,32K","0,03%"
26.07.2023,"96,220","96,225","96,225","96,220","15,53K","-0,01%"
