Fecha,BONOMX10,BONOUSA10,Close
02/04/19 0:00,8.01,2.472,5.538
03/04/19 0:00,8.04,2.528,5.512
04/04/19 0:00,8,2.513,5.487
05/04/19 0:00,7.93,2.499,5.431
08/04/19 0:00,7.93,2.52,5.41
09/04/19 0:00,7.96,2.502,5.458
10/04/19 0:00,7.94,2.465,5.475
11/04/19 0:00,7.91,2.499,5.411
12/04/19 0:00,7.89,2.562,5.328
15/04/19 0:00,7.92,2.556,5.364
16/04/19 0:00,8.01,2.592,5.418
17/04/19 0:00,8.02,2.594,5.426
18/04/19 0:00,8.03,2.56,5.47
22/04/19 0:00,8.03,2.587,5.443
23/04/19 0:00,8.05,2.569,5.481
24/04/19 0:00,8.1,2.518,5.582
25/04/19 0:00,8.1,2.534,5.566
26/04/19 0:00,8.04,2.5,5.54
29/04/19 0:00,8.09,2.527,5.563
30/04/19 0:00,8.08,2.504,5.576
02/05/19 0:00,8.11,2.545,5.565
03/05/19 0:00,8.08,2.53,5.55
06/05/19 0:00,8.11,2.5,5.61
07/05/19 0:00,8.13,2.448,5.682
08/05/19 0:00,8.12,2.485,5.635
09/05/19 0:00,8.128,2.453,5.675
10/05/19 0:00,8.1,2.473,5.627
13/05/19 0:00,8.1,2.403,5.697
14/05/19 0:00,8.07,2.414,5.656
15/05/19 0:00,8.032,2.377,5.655
16/05/19 0:00,8.04,2.394,5.646
17/05/19 0:00,8.05,2.393,5.657
20/05/19 0:00,8.112,2.419,5.693
21/05/19 0:00,8.112,2.428,5.684
22/05/19 0:00,8.104,2.38,5.724
23/05/19 0:00,8.05,2.322,5.728
24/05/19 0:00,8.02,2.324,5.696
27/05/19 0:00,8.03,2.31,5.72
28/05/19 0:00,7.95,2.267,5.683
29/05/19 0:00,7.94,2.262,5.678
30/05/19 0:00,7.98,2.217,5.763
31/05/19 0:00,8.06,2.133,5.927
03/06/19 0:00,8.06,2.075,5.985
04/06/19 0:00,7.98,2.121,5.859
05/06/19 0:00,7.974,2.131,5.843
06/06/19 0:00,8.01,2.121,5.889
07/06/19 0:00,7.92,2.084,5.836
10/06/19 0:00,7.75,2.15,5.6
11/06/19 0:00,7.68,2.145,5.535
12/06/19 0:00,7.7,2.122,5.578
13/06/19 0:00,7.67,2.093,5.577
14/06/19 0:00,7.65,2.084,5.566
17/06/19 0:00,7.744,2.091,5.653
18/06/19 0:00,7.682,2.058,5.624
19/06/19 0:00,7.63,2.029,5.601
20/06/19 0:00,7.564,2.023,5.541
21/06/19 0:00,7.68,2.059,5.621
24/06/19 0:00,7.66,2.018,5.642
25/06/19 0:00,7.698,1.988,5.71
26/06/19 0:00,7.69,2.05,5.64
27/06/19 0:00,7.58,2.014,5.566
28/06/19 0:00,7.566,2.007,5.559
01/07/19 0:00,7.484,2.033,5.451
02/07/19 0:00,7.39,1.976,5.414
03/07/19 0:00,7.314,1.953,5.361
04/07/19 0:00,7.29,1.948,5.342
05/07/19 0:00,7.3,2.039,5.261
08/07/19 0:00,7.37,2.048,5.322
09/07/19 0:00,7.56,2.072,5.488
10/07/19 0:00,7.58,2.061,5.519
11/07/19 0:00,7.658,2.143,5.515
12/07/19 0:00,7.614,2.124,5.49
15/07/19 0:00,7.602,2.09,5.512
16/07/19 0:00,7.604,2.106,5.498
17/07/19 0:00,7.74,2.043,5.697
18/07/19 0:00,7.54,2.026,5.514
19/07/19 0:00,7.48,2.057,5.423
22/07/19 0:00,7.46,2.05,5.41
23/07/19 0:00,7.478,2.078,5.4
24/07/19 0:00,7.43,2.05,5.38
25/07/19 0:00,7.43,2.083,5.347
26/07/19 0:00,7.53,2.074,5.456
29/07/19 0:00,7.5,2.063,5.437
30/07/19 0:00,7.52,2.06,5.46
31/07/19 0:00,7.49,2.007,5.483
01/08/19 0:00,7.49,1.902,5.588
02/08/19 0:00,7.426,1.843,5.583
05/08/19 0:00,7.42,1.718,5.702
06/08/19 0:00,7.43,1.716,5.714
07/08/19 0:00,7.3,1.721,5.579
08/08/19 0:00,7.262,1.719,5.543
09/08/19 0:00,7.186,1.745,5.441
12/08/19 0:00,7.184,1.64,5.544
13/08/19 0:00,7.18,1.702,5.478
14/08/19 0:00,7.23,1.583,5.647
15/08/19 0:00,7.04,1.502,5.538
16/08/19 0:00,6.93,1.562,5.368
19/08/19 0:00,7.042,1.608,5.434
20/08/19 0:00,7.06,1.552,5.508
21/08/19 0:00,7.016,1.591,5.425
22/08/19 0:00,6.972,1.613,5.359
23/08/19 0:00,6.94,1.533,5.407
26/08/19 0:00,6.97,1.538,5.432
27/08/19 0:00,7.01,1.474,5.536
28/08/19 0:00,6.99,1.468,5.522
29/08/19 0:00,7.01,1.496,5.514
30/08/19 0:00,6.95,1.499,5.451
02/09/19 0:00,6.96,1.506,5.454
03/09/19 0:00,6.93,1.462,5.468
04/09/19 0:00,6.93,1.471,5.459
05/09/19 0:00,6.99,1.565,5.425
06/09/19 0:00,6.95,1.56,5.39
09/09/19 0:00,7,1.647,5.353
10/09/19 0:00,7.07,1.744,5.326
11/09/19 0:00,7.17,1.745,5.425
12/09/19 0:00,7.16,1.778,5.382
13/09/19 0:00,7.23,1.901,5.329
17/09/19 0:00,7.17,1.81,5.36
18/09/19 0:00,7.13,1.8,5.33
