Fecha,Close,Apertura,Máximo,Mínimo,Vol.,% var.
18.03.2021,"145,66","146,38","146,38","145,41","0,11K","-0,76%"
17.03.2021,"146,77","146,75","146,75","146,23","0,43K","-0,16%"
16.03.2021,"147,00","147,22","147,44","146,98","0,92K","-0,12%"
15.03.2021,"147,17","147,19","147,34","147,13","0,21K","0,23%"
12.03.2021,"146,83","148,05","148,05","146,95","0,84K","-0,99%"
11.03.2021,"148,30","148,23","148,88","148,03","1,58K","-0,02%"
10.03.2021,"148,33","147,73","148,38","147,72","0,40K","0,23%"
09.03.2021,"147,98","147,50","148,20","147,50","1,93K","0,48%"
08.03.2021,"147,28","147,34","147,52","147,16","0,49K","-0,35%"
05.03.2021,"147,80","147,64","148,02","146,95","0,89K","0,03%"
04.03.2021,"147,75","149,16","149,16","147,67","1,54K","-0,75%"
03.03.2021,"148,86","149,64","149,69","148,52","3,20K","-0,49%"
02.03.2021,"149,59","149,42","149,84","149,13","3,26K","0,30%"
01.03.2021,"149,14","149,63","149,73","148,98","21,72K","0,18%"
26.02.2021,"148,88","148,44","149,97","147,73","46,93K","0,42%"
25.02.2021,"148,25","150,23","150,30","147,02","437,21K","-1,23%"
24.02.2021,"150,09","150,69","150,97","149,41","817,03K","-0,22%"
23.02.2021,"150,42","150,38","150,70","150,03","960,69K","0,07%"
22.02.2021,"150,31","150,58","150,89","149,91","804,74K","-0,20%"
19.02.2021,"150,61","151,36","151,50","150,38","521,81K","-0,56%"
18.02.2021,"151,45","151,67","151,86","151,02","379,25K","0,11%"
17.02.2021,"151,28","151,03","151,70","150,81","494,59K","0,01%"
16.02.2021,"151,27","152,52","152,52","151,05","557,07K","-0,92%"
12.02.2021,"152,67","153,13","153,38","152,50","278,80K","-0,38%"
11.02.2021,"153,25","153,42","153,59","153,13","253,93K","-0,04%"
10.02.2021,"153,31","152,94","153,45","152,69","295,38K","0,21%"
09.02.2021,"152,98","152,77","153,20","152,75","227,42K","0,06%"
08.02.2021,"152,89","152,75","153,05","152,34","259,73K","0,09%"
05.02.2021,"152,75","153,09","153,33","152,47","329,66K","-0,26%"
04.02.2021,"153,14","153,13","153,28","152,84","257,92K","-0,09%"
03.02.2021,"153,28","153,69","153,70","153,13","239,40K","-0,20%"
