Fecha,real_5_linear,real_5_spline,real_5_ns,real_5_sv,Close,EXP_INF_spline,EXP_INF_ns,EXP_INF_sv
07/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.398571429,5.398571429,5.206842057,5.204709842
10/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.418571429,5.418571429,5.226842057,5.224709842
11/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.438571429,5.438571429,5.246842057,5.244709842
12/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.398571429,5.398571429,5.206842057,5.204709842
13/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.318571429,5.318571429,5.126842057,5.124709842
14/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.338571429,5.338571429,5.146842057,5.144709842
17/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.358571429,5.358571429,5.166842057,5.164709842
18/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.368571429,5.368571429,5.176842057,5.174709842
19/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.368571429,5.368571429,5.176842057,5.174709842
20/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.358571429,5.358571429,5.166842057,5.164709842
21/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.358571429,5.358571429,5.166842057,5.164709842
24/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.308571429,5.308571429,5.116842057,5.114709842
25/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.328571429,5.328571429,5.136842057,5.134709842
26/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.258571429,5.258571429,5.066842057,5.064709842
27/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.158571429,5.158571429,4.966842057,4.964709842
28/09/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.176571429,5.176571429,4.984842057,4.982709842
01/10/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.172571429,5.172571429,4.980842057,4.978709842
02/10/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.206571429,5.206571429,5.014842057,5.012709842
03/10/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.208571429,5.208571429,5.016842057,5.014709842
04/10/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.288571429,5.288571429,5.096842057,5.094709842
05/10/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.328571429,5.328571429,5.136842057,5.134709842
08/10/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.408571429,5.408571429,5.216842057,5.214709842
09/10/18 0:00,2.571428571,2.571428571,2.763157943,2.765290158,5.398571429,5.398571429,5.206842057,5.204709842
